"Status","PL-ID","Flags","Source","Draft dialogue","Seed-EX","Score","Concept","Moves","Rubric","Turns","Trigger","Difficulty","Misconception","Anchors"
"auto-validated","PL-011","","corpus/inw/book1/ch05_v5.1.md","S: Why does one full vibration count as 720 degrees? A circle is 360 — someone is double-counting.|N: Trace one point of the string through a full vibration. How many distinct sweep directions does it pass through?|S: It swings one way through the rest position and back through it the other way — like tracing the circle twice, there and back.|N: So what is the vibration doing that a plain rotation is not?|S: A rotation covers the circle once; a vibration goes around the phase circle twice per full cycle — out and back. The 720 is honest accounting of that round trip.|N: Then when a chapter says a round trip is 720 degrees, what is it emphasizing?|S: That oscillation and rotation are different countings — one crossing is already a full round, so a complete vibration is two rounds.|N: You reconciled the dials instead of accusing the book — that double-count was the physics, Sophie.","EX-027","10","Vibration vs oscillation — one crossing is a full round, so a round trip is 720°","elicit-observation,structural-why,quantify,name-last,credit-the-student","(1) phase-circle traced; (2) 720 derived as round trip; (3) rotation vs oscillation counting separated; (4) no remaining double-count objection; (5) name given after reconciliation","4","Why does one full vibration count as 720 degrees? A circle is 360 — someone is double-counting.","3","Equating the washer's visible return with one complete circle, counting a round trip as 360°","'One crossing — out to the far side and stopping there — is a vibration. Out and back, both crossings, all the way home to where it started, is an oscillation. One oscillation is two vibrations.' and 'Out and back is 720 degrees, not 360.'"
"auto-validated","PL-012","","corpus/inw/book1/ch06_v5.1.md","S: On a vibrating string there are points that never move at all. How can a wave pass through a spot and leave it untouched?|N: Suppose two waves pull that spot — one up, one down, equally at every instant. What is the sum?|S: Zero — the two motions cancel exactly, so the spot holds still while both waves are very much present.|N: Then is the stillness an absence of wave, or something the waves built?|S: Something they built — a still point made of two tugs. Remove either wave and the point would start moving.|N: So what should we call such a built-still point, and its loud neighbor?|S: A node — stillness by balance — and between nodes the antinodes, where the two motions reinforce the most.|N: Right — stillness made by opposition, not by quiet, and you derived it from the two tugs, Sophie.","EX-031","10","Nodes and antinodes — stillness made by two opposite motions balancing","elicit-observation,redirect,structural-why,name-last,credit-the-student","(1) cancellation mechanism elicited; (2) stillness-as-balance vs absence separated; (3) node and antinode named last; (4) remove-one-wave test used; (5) student states the construction","4","On a vibrating string there are points that never move at all. How can a wave pass through a spot and leave it untouched?","2","Reading the standing wave as a wave that simply stopped, and the nodes as places with nothing happening","'This point... is called a node. It's a point that never moves—even though the rope is vibrating all around it.' and 'It's not standing still—it's two opposite motions perfectly balanced.'"
"auto-validated","PL-013","","corpus/inw/book1/ch07_v5.1.md","S: Everything has a beat? Atoms, hearts, seasons — that sounds like poetry, not physics.|N: Then test it where poetry can't hide. What repeats for a heart, a season, and an electron's orbit?|S: A return — each comes back to its starting condition and goes around again, at wildly different scales and times.|N: So what is the one shared claim beneath the poetry?|S: Oscillation — a pattern that recurs, whether in minutes, years, or femtoseconds. The beat is the universal shape, not the tempo.|N: And does claiming the pattern require claiming one cause?|S: No — same pattern, different mechanisms. The universality is of form, not of machinery.|N: You made the poetic claim precise without killing it — that is the physicist's move, Sophie.","EX-036","10","Everything has a beat — oscillation is the universal pattern at every scale","elicit-observation,structural-why,credit-the-student","(1) recurrence tested across scales; (2) pattern vs mechanism separated; (3) universality-of-form stated; (4) no single-cause overreach; (5) student owns the precision","4","Everything has a beat? Atoms, hearts, seasons — that sounds like poetry, not physics.","2","Treating rhythms as occasional — something machines and waves do, not the universal rule","'Everything—and I mean everything—has a beat.' and 'Scientists call these 'oscillations.' But I like to call them Nature's balanced beats.'"
"auto-validated","PL-014","","corpus/inw/book1/ch08_v5.1.md","S: Fractals look like the same picture stamped at every size. Who keeps re-stamping it as the thing grows?|N: Nobody — but check first what repeats. In a fern frond, what is similar between the whole and a leaflet?|S: The branching pattern — the way each part splits and spreads — not a picture being copied. It is the rule that repeats, not a stamp.|N: Then where does the rule live?|S: In the growth step itself — each part follows the same inside rule, so self-similarity is the output, not a design applied from outside at each size.|N: So if you zoom in, what will you find?|S: More of the same kind of branching — the rule does not run out at small scales. One rule, many faces.|N: No stamper needed — the rule is inside, and you reached that yourself, Sophie.","EX-041","10","A fractal is a self-similar pattern — one rule from inside, not a design stamped at each size","redirect,belief-vs-knowledge,structural-why,name-last,credit-the-student","(1) re-stamping image dismantled; (2) rule vs picture separated; (3) self-similarity as output stated; (4) zoom consequence drawn; (5) name-last honored","4","Fractals look like the same picture stamped at every size. Who keeps re-stamping it as the thing grows?","2","Reading repeated shape at many sizes as external design, and fractal as mere visual self-resemblance","'the reason it repeats isn't because someone designed it that way. The same growth rule works at every level because it generates itself from inside. That's what scientists call self-similar—the rule comes from within.'"
"auto-validated","PL-015","","corpus/inw/book1/ch09_v5.1.md","S: A hundred people clapping at the same instant versus clapping one after another — the same total claps, so the same result?|N: Same count — now put your ears in the room. What differs about the sound in the two cases?|S: Together, one enormous crack; in a row, a longer, thinner patter. The intensity exploded in the first case, the duration in the second.|N: So what did combining at one instant buy, and what did spreading in time buy?|S: Simultaneous creates intensity — many counts merged into one loud effect; sequential creates duration — the same counts stretched into time.|N: Then if you wanted maximum loudness from a fixed hundred claps, which arrangement?|S: All at once — merging the counts, not spending them one by one.|N: You kept the total fixed and moved only the arrangement — that is the whole distinction, Sophie.","EX-046","10","Simultaneous creates intensity; sequential creates duration (the hundred claps)","elicit-observation,tabulate,structural-why,credit-the-student","(1) intensity vs duration separated; (2) count held fixed in reasoning; (3) merge-vs-spread articulated; (4) loudness design question answered; (5) student states the law","4","A hundred people clapping at the same instant versus clapping one after another — the same total claps, so the same result?","2","Believing the louder clap means more claps happened, or that the sound changed rather than the timing","'not a hundred separate claps—one clap with the intensity of a hundred' and 'the same hundred claps, but instead of intensity, you got duration' and 'Together, they create intensity. Spread out, they create duration.'"
"auto-validated","PL-016","","corpus/inw/book1/ch10_v5.1.md","S: Why does a stretched rubber band pull my fingers back? Nothing is pushing it — it is just sitting there stretched.|N: Look smaller. When you stretch it, what did you do to the spacing of its atoms?|S: I pulled them apart from where they sat comfortably — I moved every atom off its natural spacing.|N: And what does each atom want to do about that?|S: Return. Every atom is trying to get back to its natural spacing, and all those returnings add up to the pull I feel.|N: So is tension a thing added, or a condition?|S: A condition — tension is constrained oscillation, atoms held away from home and straining back. The pull is the strain made visible.|N: The pull-back was the atoms' homesickness all along — you reduced it to spacing yourself, Sophie.","EX-051","10","Tension is constrained oscillation — the pull-back comes from atoms returning to natural spacing","elicit-observation,redirect,structural-why,name-last,credit-the-student","(1) atomic spacing displaced; (2) return-tendency elicited; (3) tension defined as constrained oscillation; (4) no extra agent invoked; (5) student states the reduction","4","Why does a stretched rubber band pull my fingers back? Nothing is pushing it — it is just sitting there stretched.","2","Treating the pull-back as the material 'wanting' or being designed to stretch, instead of constrained oscillation","'When you stretch the rubber band, you're constraining the oscillations... That constraint creates what we call tension—a pulling force trying to return the system to equilibrium.' and 'Elasticity. It's the measure of how readily something stores the stress you put into it and then springs back to balance when you let go.'"
"auto-validated","PL-017","","corpus/inw/book1/ch10_v5.1.md","S: Can a force exist with no motion at all? A bridge pier holds a thousand tons and never moves an inch.|N: Hold your palms pressed hard together, perfectly still. Is anything happening?|S: Yes — strain. My arms are working against each other even though nothing moves. So force without motion is possible: it is stored push.|N: Then what should we call that stored push in the pier's concrete?|S: Interactive stress — the atoms are displaced from comfortable spacing and held there, strain without travel.|N: And the old word for that condition, the one the chapter rescues from mistranslation?|S: Duhkha — not suffering, but stress that can hold still. The pier stands in it permanently.|N: You found force-without-motion in your own arms before the chapter named it — that ordering matters, Sophie.","EX-053","10","Stress can hold still — force with no motion; interactive stress, the physics meaning of Duhkha","elicit-observation,belief-vs-knowledge,structural-why,name-last,credit-the-student","(1) still strain demonstrated; (2) stored push articulated; (3) Duhkha renamed to interactive stress; (4) name after property; (5) no mystical residue","4","Can a force exist with no motion at all? A bridge pier holds a thousand tons and never moves an inch.","3","Believing a force requires motion — that a stationary pressure is not a force","'That's stress: a force squeezing inward in compression, with no movement at all.' and 'The same still, motionless force—but pulling outward instead of squeezing inward.' and 'Duhkha means interactive self-similar stress... That's physics stress—the very thing we're talking about: systems under constraint, oscillations that can't move freely, forces created by interaction.'"
"auto-validated","PL-018","","corpus/inw/book1/ch10_v5.1.md","S: A magnet moves a paperclip across the table with nothing between them. Is that not literally spooky action at a distance?|N: Nothing between them — is that an observation or an assumption? What did the chapter say fills that gap?|S: An assumption. The claim was that the substratum fills space everywhere, so the gap is not empty — it is full of the medium that carries the push.|N: Then how does the pull actually travel?|S: Through the substratum, contact by contact — like stress through a packed crowd. Nothing supernatural, just a medium we do not see.|N: So when does action at a distance stop being spooky?|S: The moment the gap is not empty. Spookiness was a property of the vacuum assumption, not of the magnet.|N: You retired the spook by interrogating the assumption — the medium carries it, Sophie.","EX-055","10","Action at a distance is only spooky if the gap is empty — the substratum carries the push","redirect,structural-why,contrast,credit-the-student","(1) assumption exposed; (2) substratum invoked from the chapter; (3) contact transmission articulated; (4) spookiness relocated to the assumption; (5) student states the resolution","4","A magnet moves a paperclip across the table with nothing between them. Is that not literally spooky action at a distance?","3","Believing the gap is truly empty, so the force must be magical with no possible mechanism","'It only looks spooky if you believe the space between the magnets is truly empty. What if it isn't?' and 'Then the magnet isn't reaching across nothing at all. It's pushing on what fills space, and that push travels through' and 'So it isn't spooky... We just haven't met the thing in the middle yet.'"
"needs-mentor","PL-019","student-articulation(10w);grounding-partial","corpus/inw/book1/ch11_v5.1.md","S: My lab partner says a heavier pendulum swings slower because gravity has more to drag. Do we need a bigger mass to slow it down?|N: Predict first: if mass set the pace, what would a brass bob and a wooden bob of the same length do?|S: Swing at different rates — the brass slower. But the chapter's answer is that they keep the same beat... because the extra pull and the extra inertia cancel.|N: So what two dials does the beat actually respond to?|S: Length and the local strength of gravity — density and rate are independent dials. How much is moving does not set how often it beats.|N: Then how would you slow your pendulum down, honestly?|S: Lengthen the string — change the geometry, not the mass.|N: Your partner's theory just met your prediction test and lost — you ran the experiment in your head correctly, Sophie.","EX-059","7","Density and rate are independent dials — how much is moving does not set how often it beats","predict-then-test,elicit-observation,structural-why,name-last,credit-the-student","(1) prediction forced before answer; (2) canceling of pull and inertia elicited; (3) independence of dials stated; (4) honest fix identified; (5) credit for method","4","My lab partner says a heavier pendulum swings slower because gravity has more to drag. Do we need a bigger mass to slow it down?","3","Conflating how much (density/heft) with how often (rate) — assuming the beat speeds up with more balls","'The number of balls you separate sets how much is moving—think of it as the density, the heft of the group' and 'the interactive rate—how often the cycle repeats—is a different quantity altogether' and 'they are independent dials' and 'together, those two dials—density and rate—tell you the state of things.'"
"auto-validated","PL-020","student-articulation(11w);grounding-partial","corpus/inw/book1/ch11_v5.1.md","S: An archer's bow just stores energy, right? Where do the three phases hide in a bent stick?|N: Feel the bow with three fingers — the outer face, the inner face, the middle. What is each doing?|S: Outside is stretched — pulled apart; inside is squeezed — pushed together; and the middle is the neutral layer between them.|N: So how many conditions is the one bow in at once?|S: Three — tension outside, compression inside, and the reversal between them. The bow holds all three phases at once.|N: And where does the arrow's push come from?|S: From those strains relaxing toward balance the instant the grip opens.|N: The bow was the whole lesson in one stick — and you laid out its three faces yourself, Sophie.","EX-060","8","The bow holds all three phases at once — outside in tension, inside in compression, reversal between","elicit-observation,structural-why,tabulate,credit-the-student","(1) three phases located spatially; (2) simultaneous holding stated; (3) arrow push traced to strains; (4) neutral layer found; (5) student owns the map","4","An archer's bow just stores energy, right? Where do the three phases hide in a bent stick?","2","Believing one interaction shows one phase at a time — that a bent thing is either compressed or stretched","'The outer edge of the curve is being stretched—pulled longer. That's expansion. Sathwa.' and 'The inner edge is being squeezed shorter—compressed. That's Thaama' and 'the stretching of the outside and the squeezing of the inside happen at the very same instant. One can't occur without the other.' and 'That balance isn't zero; it's an energized neutral, a resonant resting point the strung bow already sits at.'"
"auto-validated","PL-021","","corpus/inw/book1/ch12_v5.1.md","S: School taught me Fibonacci was invented in 1202 in Italy. Is that timeline solid?|N: Solid enough for a textbook — now check the chapter's older anchors. What was happening with this rule a millennium before Leonardo?|S: Pingala was studying it more than two thousand years ago in India, and the Meru staircase was already mapping the combinatorics.|N: So what happened in 1202, precisely?|S: Leonardo carried the system — place value and the sequence — to Europe. A transport event, dated and real, but not a birth.|N: Then how should the timeline be phrased?|S: The rule was old by a millennium when Leonardo found it; the school story is a slide from carrier to creator.|N: You corrected a textbook by placing two dates honestly — that is provenance work, Sophie.","EX-063","10","The timeline — the rule was old by a millennium when Leonardo found it; school's story is a sliver","history-as-evidence,redirect,name-last,credit-the-student","(1) older anchor recalled; (2) transport vs birth separated; (3) school story corrected; (4) no blame, just accuracy; (5) student states the timeline","4","School taught me Fibonacci was invented in 1202 in Italy. Is that timeline solid?","2","Believing naming equals discovering — that the sequence began with Fibonacci in 1202 Europe","'I thought the story started with Fibonacci... As if it came out of nowhere, in Italy, in twelve-oh-two.' and 'the rule was old when he found it. Old by more than a millennium.' and 'The sliver was small. The rest was vast.' and 'The story is so much bigger than I was told.'"
"auto-validated","PL-022","","corpus/inw/book2/ch01_v3.5.md","S: A pencil dot is basically zero-dimensional, right? It is a point in my geometry book.|N: Your geometry book idealizes. What does a magnifier show on that dot's edge?|S: A ragged mountain range — graphite peaks and valleys. It has height and width and depth; the dot is a small territory, not a point.|N: So what does the chapter mean by zero dimensions means zero existence?|S: Nothing real gets to be zero-D — a true point would have no extent at all, and the dot clearly has extent. Ideal points are ideas, not things.|N: Then what is the honest description of your pencil mark?|S: A three-dimensional object so small it pretends to be a point when we need the math simple.|N: You kept the idealization as a tool without confusing it with the world — that is the discipline, Sophie.","EX-066","10","A pencil dot is a mountain range under magnification — zero dimensions means zero existence","elicit-observation,redirect,structural-why,credit-the-student","(1) magnifier evidence used; (2) ideal vs real separated; (3) zero-existence claim interpreted; (4) idealization kept honestly; (5) student states the distinction","4","A pencil dot is basically zero-dimensional, right? It is a point in my geometry book.","2","A pencil dot is a genuinely zero-dimensional physical object","'Your ""zero-dimensional point"" turned out to be...?' and 'It's a tiny mountain of graphite.' and 'Points = mathematical abstractions, NOT physical reality. Zero dimensions = zero existence.'"
"auto-validated","PL-023","","corpus/inw/book2/ch02_v3.5.md","S: Light is a vibration, the book says — but vibrations of what? Space is supposed to be empty.|N: Hold on to the vibration half — it is the load-bearing part. What does every vibration you have ever met need?|S: Something to vibrate — sound needs air, ripples need water. A vibration with nothing to vibrate is a verb without a noun.|N: Then what does the chapter supply as the noun?|S: The continuum — a medium that fills space everywhere, so light is a vibration of that continuum, not of a thing flying across emptiness.|N: And what dies in the process?|S: The emptiness premise. Light needs a medium, so the medium fills space — the ripple model, not a ball in the void.|N: You refused the verb-without-a-noun — the medium entered as a requirement, not a decoration, Sophie.","EX-068","10","Light is a vibration, so it needs a medium — the continuum fills space everywhere","elicit-observation,redirect,structural-why,name-last,credit-the-student","(1) vibration-medium requirement surfaced; (2) continuum introduced as the noun; (3) emptiness premise dropped; (4) ripple model named last; (5) student states the necessity","4","Light is a vibration, the book says — but vibrations of what? Space is supposed to be empty.","3","Light needs no medium because it is a particle flying through empty space","'The fork can't push on air molecules that aren't there.' and 'if light is a vibration — and we know it is... what is doing the vibrating?' and 'You can't wave a flag that doesn't exist.'"
